Job ID,Dataset,Preserve order,Parallelism,Num cpus,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
3000000,1kds,False,-1,3,8,602116000,1000,120,15.189583778381348,65.8345886622157,10.309079647064207,97.00186963680868
3000000,1kds,False,-1,3,16,602116000,1000,80,9.077187538146973,110.16628176926936,8.45370364189148,118.2913480719386
3000000,1kds,False,-1,3,32,602116000,1000,34,8.03331470489502,124.48161646034607,7.363833904266357,135.79882612787256
3000000,1kds,False,-1,3,64,602116000,1000,16,7.010716915130615,142.6387646378629,6.372888088226318,156.91472785273982
3000000,1kds,False,-1,3,128,602116000,1000,8,5.5138773918151855,181.36057966838413,5.243648052215576,190.70692579710308
3000000,1kds,False,50,3,8,602116000,1000,50,5.985401153564453,167.0731792813044,5.728183031082153,174.57542724696816
3000000,1kds,False,50,3,16,602116000,1000,50,7.743030071258545,129.14840712189834,7.122571468353272,140.39873161584416
3000000,1kds,False,50,3,32,602116000,1000,50,9.910240173339844,100.9057280660223,9.316118717193604,107.34083907222266
3000000,1kds,False,50,3,64,602116000,1000,17,8.885098934173584,112.54798707461003,8.259220361709595,121.07680340339142
3000000,1kds,False,50,3,128,602116000,1000,9,4.621249437332153,216.39169526787109,4.3665759563446045,229.01239094375697
3000000,1kds,False,100,3,8,602116000,1000,100,5.786135911941528,172.82691164170245,5.522987842559815,181.0614161222771
3000000,1kds,False,100,3,16,602116000,1000,100,8.381942749023438,119.3040837837395,7.801832437515259,128.17501631943298
3000000,1kds,False,100,3,32,602116000,1000,34,8.609424114227295,116.15178747524752,7.660988330841064,130.5314610615279
3000000,1kds,False,100,3,64,602116000,1000,17,6.809204339981079,146.86003680758665,6.161334991455078,162.30248824108122
3000000,1kds,False,100,3,128,602116000,1000,9,4.786144018173218,208.9364624639276,4.513530969619751,221.55602935504984
3000000,1kds,False,200,3,8,602116000,1000,200,8.041810035705566,124.35011465826832,7.778622627258301,128.5574642091187
3000000,1kds,False,200,3,16,602116000,1000,67,9.319643259048462,107.30024446258687,8.68085503578186,115.19602572305054
3000000,1kds,False,200,3,32,602116000,1000,34,8.036715507507324,124.42894103516188,7.461320400238037,134.0245353849296
3000000,1kds,False,200,3,64,602116000,1000,17,6.7988810539245605,147.08302617277937,6.1668548583984375,162.15721351673014
3000000,1kds,False,200,3,128,602116000,1000,8,5.912357091903687,169.1372805220761,5.651286363601685,176.95086315935313
3000000,1kds,False,300,3,8,602116000,1000,150,7.188543558120728,139.11023727056974,6.923182725906372,144.44223698704727
3000000,1kds,False,300,3,16,602116000,1000,65,8.618869304656982,116.02449980993168,7.984118461608887,125.24864264081688
3000000,1kds,False,300,3,32,602116000,1000,33,8.565574407577515,116.74640279995144,7.902743339538574,126.5383370097387
3000000,1kds,False,300,3,64,602116000,1000,16,7.506963014602661,133.20966122449045,6.925856590270996,144.3864721953291
3000000,1kds,False,300,3,128,602116000,1000,8,6.529437065124512,153.1525597116588,6.264198064804077,159.63735336189063
3000000,1kds,False,400,3,8,602116000,1000,150,5.770892381668091,173.28342548487234,5.499762773513794,181.8260243543379
3000000,1kds,False,400,3,16,602116000,1000,65,10.167572736740112,98.35189045528442,9.28809380531311,107.66471796699184
3000000,1kds,False,400,3,32,602116000,1000,33,10.882897853851318,91.88729081437742,10.212839126586914,97.91596514985892
3000000,1kds,False,400,3,64,602116000,1000,16,7.908156633377075,126.4517189479292,7.300279378890991,136.981058956666
3000000,1kds,False,400,3,128,602116000,1000,8,7.400200605392456,135.13147187811495,7.129895210266113,140.25451574100714
3000000,10kds,False,-1,3,8,6021160000,10000,120,47.881951093673706,208.84696157089613,43.60080075263977,229.3535858832721
3000000,10kds,False,-1,3,16,6021160000,10000,120,46.997541189193726,212.7770889065007,44.57663893699646,224.3327500337959
3000000,10kds,False,-1,3,32,6021160000,10000,120,46.591975688934326,214.62923286970675,44.057288646698,226.9771996227797
3000000,10kds,False,-1,3,64,6021160000,10000,120,46.95059823989868,212.98983133088143,44.49622631072998,224.7381593703501
3000000,10kds,False,-1,3,128,6021160000,10000,120,47.67017698287964,209.7747613479896,44.4282910823822,225.0818061279301
3000000,10kds,False,50,3,8,6021160000,10000,50,50.55593538284302,197.80071171215369,48.01943564414978,208.2490113816717
3000000,10kds,False,50,3,16,6021160000,10000,50,50.366267919540405,198.54558245163008,47.58479070663452,210.15118174315617
3000000,10kds,False,50,3,32,6021160000,10000,50,48.44878339767456,206.40353170313,46.01230335235596,217.3331755078932
3000000,10kds,False,50,3,64,6021160000,10000,50,52.37793731689453,190.9200803288314,49.924745082855225,200.3014734157176
3000000,10kds,False,50,3,128,6021160000,10000,50,51.7125883102417,193.37651289095305,49.15855932235718,203.42337403390965
3000000,10kds,False,100,3,8,6021160000,10000,100,47.97742652893066,208.43135456567148,45.5693154335022,219.44591233968987
3000000,10kds,False,100,3,16,6021160000,10000,100,47.05536890029907,212.51560095486664,44.700188398361206,223.7127036441444
3000000,10kds,False,100,3,32,6021160000,10000,100,49.82173228263855,200.7156223165832,46.9944703578949,212.7909927241054
3000000,10kds,False,100,3,64,6021160000,10000,100,47.49718475341797,210.53879407621912,45.04723358154297,221.98921454074068
3000000,10kds,False,100,3,128,6021160000,10000,100,46.81450414657593,213.6090124695129,44.40814995765686,225.183891009533
3000000,10kds,False,200,3,8,6021160000,10000,200,44.19632697105408,226.2631464046638,41.487282514572144,241.0377203300208
3000000,10kds,False,200,3,16,6021160000,10000,200,46.64776921272278,214.3725234619062,43.879268407821655,227.8980567100216
3000000,10kds,False,200,3,32,6021160000,10000,200,43.5616819858551,229.55954738494933,41.14119219779968,243.0653917835376
3000000,10kds,False,200,3,64,6021160000,10000,200,45.90418195724487,217.84507584328577,43.49966216087341,229.88684286828067
3000000,10kds,False,200,3,128,6021160000,10000,100,48.3391101360321,206.8718263918965,45.57575750350952,219.4148939648444
3000000,10kds,False,300,3,8,6021160000,10000,300,46.36683416366577,215.6713991880916,43.93697643280029,227.5987291773381
3000000,10kds,False,300,3,16,6021160000,10000,300,44.69326400756836,223.7473637706702,41.93694853782654,238.4532100846617
3000000,10kds,False,300,3,32,6021160000,10000,300,44.28506255149841,225.80977476030785,41.85258960723877,238.9338412233018
3000000,10kds,False,300,3,64,6021160000,10000,300,45.649091720581055,219.06240897869748,43.40034770965576,230.41290053478508
3000000,10kds,False,300,3,128,6021160000,10000,100,46.67858123779297,214.2310184848457,44.19771432876587,226.2560440482224
3000000,10kds,False,400,3,8,6021160000,10000,400,45.32088279724121,220.64883521220207,42.65481758117676,234.44010705165744
3000000,10kds,False,400,3,16,6021160000,10000,400,43.9567232131958,227.49648447402924,41.57279229164124,240.541937376928
3000000,10kds,False,400,3,32,6021160000,10000,400,44.85711431503296,222.93007815370552,42.17820358276367,237.08928191732065
3000000,10kds,False,400,3,64,6021160000,10000,200,46.02481460571289,217.2740962819378,43.604424715042114,229.33452431377503
03000000,10kds,False,400,3,128,6021160000,10000,80,49.88670086860657,200.45422579333055,47.45123529434204,210.74266956317518
